GL172903	GL172903.1
GL172904	GL172904.1
GL172905	GL172905.1
GL172906	GL172906.1
GL172907	GL172907.1
GL172908	GL172908.1
GL172909	GL172909.1
GL172910	GL172910.1
GL172911	GL172911.1
GL172912	GL172912.1
GL172913	GL172913.1
GL172914	GL172914.1
GL172915	GL172915.1
GL172916	GL172916.1
GL172917	GL172917.1
GL172918	GL172918.1
GL172919	GL172919.1
GL172920	GL172920.1
GL172921	GL172921.1
GL172922	GL172922.1
GL172923	GL172923.1
GL172924	GL172924.1
GL172925	GL172925.1
GL172926	GL172926.1
GL172927	GL172927.1
GL172928	GL172928.1
GL172929	GL172929.1
GL172930	GL172930.1
GL172931	GL172931.1
GL172932	GL172932.1
GL172933	GL172933.1
GL172934	GL172934.1
GL172935	GL172935.1
GL172936	GL172936.1
GL172937	GL172937.1
GL172938	GL172938.1
GL172939	GL172939.1
GL172940	GL172940.1
GL172941	GL172941.1
GL172942	GL172942.1
GL172943	GL172943.1
GL172944	GL172944.1
GL172945	GL172945.1
GL172946	GL172946.1
GL172947	GL172947.1
GL172948	GL172948.1
GL172949	GL172949.1
GL172950	GL172950.1
GL172951	GL172951.1
GL172952	GL172952.1
GL172953	GL172953.1
GL172954	GL172954.1
GL172955	GL172955.1
GL172956	GL172956.1
GL172957	GL172957.1
GL172958	GL172958.1
GL172959	GL172959.1
GL172960	GL172960.1
GL172961	GL172961.1
GL172962	GL172962.1
GL172963	GL172963.1
GL172964	GL172964.1
GL172965	GL172965.1
GL172966	GL172966.1
GL172967	GL172967.1
GL172968	GL172968.1
GL172969	GL172969.1
GL172970	GL172970.1
GL172971	GL172971.1
GL172972	GL172972.1
GL172973	GL172973.1
GL172974	GL172974.1
GL172975	GL172975.1
GL172976	GL172976.1
GL172977	GL172977.1
GL172978	GL172978.1
GL172979	GL172979.1
GL172980	GL172980.1
GL172981	GL172981.1
GL172982	GL172982.1
GL172983	GL172983.1
GL172984	GL172984.1
GL172985	GL172985.1
GL172986	GL172986.1
GL172987	GL172987.1
GL172988	GL172988.1
GL172989	GL172989.1
GL172990	GL172990.1
GL172991	GL172991.1
GL172992	GL172992.1
GL172993	GL172993.1
GL172994	GL172994.1
GL172995	GL172995.1
GL172996	GL172996.1
GL172997	GL172997.1
GL172998	GL172998.1
GL172999	GL172999.1
GL173000	GL173000.1
GL173001	GL173001.1
GL173002	GL173002.1
GL173003	GL173003.1
GL173004	GL173004.1
GL173005	GL173005.1
GL173006	GL173006.1
GL173007	GL173007.1
GL173008	GL173008.1
GL173009	GL173009.1
GL173010	GL173010.1
GL173011	GL173011.1
GL173012	GL173012.1
GL173013	GL173013.1
GL173014	GL173014.1
GL173015	GL173015.1
GL173016	GL173016.1
GL173017	GL173017.1
GL173018	GL173018.1
GL173019	GL173019.1
GL173020	GL173020.1
GL173021	GL173021.1
GL173022	GL173022.1
GL173023	GL173023.1
GL173024	GL173024.1
GL173025	GL173025.1
GL173026	GL173026.1
GL173027	GL173027.1
GL173028	GL173028.1
GL173029	GL173029.1
GL173030	GL173030.1
GL173031	GL173031.1
GL173032	GL173032.1
GL173033	GL173033.1
GL173034	GL173034.1
GL173035	GL173035.1
GL173036	GL173036.1
GL173037	GL173037.1
GL173038	GL173038.1
GL173039	GL173039.1
GL173040	GL173040.1
GL173041	GL173041.1
GL173042	GL173042.1
GL173043	GL173043.1
GL173044	GL173044.1
GL173045	GL173045.1
GL173046	GL173046.1
GL173047	GL173047.1
GL173048	GL173048.1
GL173049	GL173049.1
GL173050	GL173050.1
GL173051	GL173051.1
GL173052	GL173052.1
GL173053	GL173053.1
GL173054	GL173054.1
GL173055	GL173055.1
GL173056	GL173056.1
GL173057	GL173057.1
GL173058	GL173058.1
GL173059	GL173059.1
GL173060	GL173060.1
GL173061	GL173061.1
GL173062	GL173062.1
GL173063	GL173063.1
GL173064	GL173064.1
GL173065	GL173065.1
GL173066	GL173066.1
GL173067	GL173067.1
GL173068	GL173068.1
GL173069	GL173069.1
GL173070	GL173070.1
GL173071	GL173071.1
GL173072	GL173072.1
GL173073	GL173073.1
GL173074	GL173074.1
GL173075	GL173075.1
GL173076	GL173076.1
GL173077	GL173077.1
GL173078	GL173078.1
GL173079	GL173079.1
GL173080	GL173080.1
GL173081	GL173081.1
GL173082	GL173082.1
GL173083	GL173083.1
GL173084	GL173084.1
GL173085	GL173085.1
GL173086	GL173086.1
GL173087	GL173087.1
GL173088	GL173088.1
GL173089	GL173089.1
GL173090	GL173090.1
GL173091	GL173091.1
GL173092	GL173092.1
GL173093	GL173093.1
GL173094	GL173094.1
GL173095	GL173095.1
GL173096	GL173096.1
GL173097	GL173097.1
GL173098	GL173098.1
GL173099	GL173099.1
GL173100	GL173100.1
GL173101	GL173101.1
GL173102	GL173102.1
GL173103	GL173103.1
GL173104	GL173104.1
GL173105	GL173105.1
GL173106	GL173106.1
GL173107	GL173107.1
GL173108	GL173108.1
GL173109	GL173109.1
GL173110	GL173110.1
GL173111	GL173111.1
GL173112	GL173112.1
GL173113	GL173113.1
GL173114	GL173114.1
GL173115	GL173115.1
GL173116	GL173116.1
